City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ushachy,55.1786,28.6035,287.31,76,100,6.92,BY,1697073833
83,georgetown,5.4112,100.3354,302.01,92,40,2.24,MY,1697073833
84,alekseyevka,50.6309,38.6903,276.42,44,98,6.32,RU,1697073834
85,don luan,11.5333,106.9167,300.1,84,66,1.56,VN,1697073834
86,nema,57.5067,50.5011,274.36,80,100,6.06,RU,1697073834
87,kingston,17.997,-76.7936,302.68,79,20,3.09,JM,1697073233
88,inverell,-29.7833,151.1167,299.88,43,0,2.68,AU,1697073834
89,porto novo,6.4965,2.6036,298.25,90,100,1.79,BJ,1697073834
90,pacific grove,36.6177,-121.9166,295.12,78,0,8.05,US,1697073834
91,avarua,-21.2078,-159.775,298.18,69,100,6.17,CK,1697073834
92,xiva,41.3783,60.3639,282.14,66,82,3.09,UZ,1697073834
93,tiksi,71.6872,128.8694,268.69,90,100,7.61,RU,1697073834
94,gaigeturi,33.4644,126.3183,295.18,60,20,5.66,KR,1697073834
95,gadzhiyevo,69.2551,33.3362,272.15,83,94,10.53,RU,1697073834
96,opuwo,-18.0607,13.84,292.61,47,100,2.26,NA,1697073681
97,kourou,5.1552,-52.6478,300.18,75,0,4.36,GF,1697073834
98,hamilton,39.1834,-84.5333,289.47,64,0,1.54,US,1697073666
99,kapa'a,22.0752,-159.319,303.14,73,0,6.17,US,1697073803
100,huilong,31.8111,121.655,294.19,64,66,3.87,CN,1697073834
101,badger,64.8,-147.5333,271.47,80,75,2.06,US,1697073747
102,katsuren-haebaru,26.3369,127.8719,301.58,69,75,7.2,JP,1697073835
103,kill devil hills,36.0307,-75.676,292.58,83,0,0.0,US,1697073835
104,nova sintra,14.8667,-24.7167,297.21,68,79,1.91,CV,1697073835
105,nogliki,51.8333,143.1667,285.01,58,71,6.26,RU,1697073835
106,papatowai,-46.5619,169.4708,285.51,58,40,7.93,NZ,1697073835
107,guane,22.2025,-84.0875,300.87,87,78,5.54,CU,1697073835
108,miles city,46.4083,-105.8406,282.69,76,0,3.09,US,1697073835
109,nemuro,43.3236,145.575,286.86,64,0,5.08,JP,1697073835
110,centenario,-38.8043,-68.14,286.01,50,0,0.0,AR,1697073835
111,marsh harbour,26.5412,-77.0636,301.46,79,100,3.37,BS,1697073835
112,ares,-6.1944,-35.1603,299.2,83,13,4.67,BR,1697073835
113,susuman,62.7833,148.1667,260.92,77,28,0.18,RU,1697073835
114,pont rouge,48.8833,-72.0825,282.21,94,100,2.82,CA,1697073835
115,tezu,27.9167,96.1667,295.27,91,1,1.05,IN,1697073835
116,oberlin,41.2939,-82.2174,286.14,81,20,0.45,US,1697073835
117,burang,30.25,81.1667,277.54,34,0,1.37,CN,1697073836
118,general conesa,-40.1,-64.4333,283.86,27,0,4.57,AR,1697073836
119,fale old settlement,-9.3852,-171.2468,301.88,76,22,7.04,TK,1697073836
120,patacamaya,-17.2333,-67.9167,285.3,60,95,2.97,BO,1697073836
121,port saint john's,-31.6229,29.5448,292.89,92,100,1.75,ZA,1697073836
122,lompoc,34.6391,-120.4579,294.7,79,0,9.77,US,1697073813
123,wailua homesteads,22.0669,-159.378,302.39,73,0,6.17,US,1697073836
124,iquique,-20.2208,-70.1431,290.17,80,82,0.96,CL,1697073836
125,dryden,49.7833,-92.7503,281.31,76,75,1.54,CA,1697073836
126,longyearbyen,78.2186,15.6401,269.06,58,40,7.2,SJ,1697073836
127,san luis de la loma,17.2706,-100.8939,298.82,84,100,1.19,MX,1697073836
128,corsicana,32.0954,-96.4689,292.29,77,75,3.09,US,1697073836
129,mwene-ditu,-7.0,23.45,292.46,93,100,1.2,CD,1697073836
130,udachny,66.4167,112.4,274.51,69,100,5.2,RU,1697073836
131,suomussalmi,64.8869,28.9078,274.15,97,100,7.48,FI,1697073836
132,yakeshi,49.2833,120.7333,283.92,47,0,2.33,CN,1697073837
133,belabo,4.9333,13.3,293.01,98,85,0.3,CM,1697073837
134,kamina,-8.7386,24.9906,291.66,94,95,2.34,CD,1697073837
135,papao,-17.75,-149.55,302.97,78,6,7.97,PF,1697073837
136,laguna,38.421,-121.4238,296.31,36,0,5.66,US,1697073837
137,coquimbo,-29.9533,-71.3436,286.0,82,0,1.54,CL,1697073797
138,tazovsky,67.4667,78.7,275.11,98,100,2.93,RU,1697073837
139,beira,-19.8436,34.8389,294.66,91,0,2.91,MZ,1697073837
140,afaahiti,-17.75,-149.2833,302.08,79,25,7.07,PF,1697073837
141,gagarawa,12.4074,9.5277,301.89,28,72,3.41,NG,1697073837
142,kolonia town,6.964,158.206,300.21,94,100,2.57,FM,1697073837
143,iskateley,67.6803,53.1512,274.27,76,8,4.02,RU,1697073837
144,tokar,18.4254,37.729,302.58,77,21,3.98,SD,1697073838
145,howard springs,-12.497,131.047,305.1,38,98,2.71,AU,1697073838
146,rio grande,-32.035,-52.0986,286.21,86,100,10.05,BR,1697073838
147,puerto deseado,-47.7503,-65.8938,280.28,67,54,8.62,AR,1697073838
148,zaysan,47.4667,84.8667,286.75,26,7,2.06,KZ,1697073838
149,kerema,-7.9631,145.7785,301.74,76,97,3.87,PG,1697073797
150,aasiaat,68.7098,-52.8699,267.56,94,100,3.14,GL,1697073838
151,mont-joli,48.5839,-68.1921,282.87,93,100,2.57,CA,1697073838
152,bikenibeu village,1.3673,173.1241,304.13,74,75,1.03,KI,1697073838
153,san carlos,9.6612,-68.5827,297.31,91,45,1.36,VE,1697073838
154,vila franca do campo,37.7167,-25.4333,293.38,99,86,3.92,PT,1697073838
155,huarmey,-10.0681,-78.1522,292.39,86,85,5.3,PE,1697073838
156,ust-nera,64.5667,143.2,262.71,91,100,1.34,RU,1697073838
157,tahe,52.3333,124.7333,285.74,49,26,3.85,CN,1697073838
158,mitu,1.1983,-70.1733,295.91,98,100,1.4,CO,1697073839
159,praia da vitoria,38.7333,-27.0667,291.9,88,0,3.6,PT,1697073839
160,chengzhong,30.95,113.55,291.53,66,98,2.3,CN,1697073839
161,kavaratti,10.5669,72.642,301.63,65,100,2.5,IN,1697073839
162,conception bay south,47.4999,-52.9981,285.68,96,100,1.12,CA,1697073839
